---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [A Grateful Soul Is an Open Soul](messages/2015/09/2015-09-14-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2015‑09‑14 |  |  | Keea Atta Kem teaches that gratitude is a practical spiritual discipline that opens the soul, clears negative conditions, and allows God's Love and Light to flood consciousness. She encourages the group to walk through the world with a gracious, grateful attitude, becoming an infectious channel of Light to all they encounter. | A grateful soul is an open soul. It is that simple. |
| [You Are Now Strong Enough to Walk in This Harsh World without Fear](messages/2015/09/2015-09-21-af-andrew.md) | Andrew | Al Fike | 2015‑09‑21 | The Saints & Apostles Speak |  | Andrew encourages the group that God's Love has now given them the strength and confidence to walk through a harsh world without fear, releasing doubt and self-protection. He teaches that judgment closes the door to Love, and calls them to pray for those who cause harm, seeing every soul as precious and capable of transformation. | God has placed His Hand upon you. Who, then, can hurt you? |
| [Continue to Seek the Truth and Express the Gifts of Your Soul](messages/2015/09/2015-09-21-af-confucius.md) | Confucius | Al Fike | 2015‑09‑21 |  |  | Confucius addresses a prayer circle, offering personal encouragement to a new soul whose curiosity springs from her soul, affirming her healing gift. He then broadens his message to all gathered, urging them to continue seeking Truth through prayer, reading inspiring passages, and walking in the flow of God's Love, assuring them that this pursuit brings all they require. | Every question your soul asks is already drawing the angels closer; keep asking and God will keep opening doors. |
| [Each of You Has Been Given a Special Gift](messages/2015/09/2015-09-21-af-mary.md) | Mary | Al Fike | 2015‑09‑21 | The Saints & Apostles Speak |  | Mary urges the group to seek inwardly the special gift God placed within each of them during their recent gathering, teaching that these gifts await the transformation of consciousness into soul awareness. She affirms that each soul carries a unique purpose and Light, and that God's Love, when allowed in deeply, will flush away whatever obscures that knowing. | The gifts are already within you. God is waiting for you to go and find them. |
| [Continue Steadfastly on the Path of Love](messages/2015/09/2015-09-27-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑09‑27 |  |  | Alec Gaunt offers warm encouragement to the group, affirming they are walking in the right direction and urging them not to doubt their steps. He speaks of working behind the scenes alongside angels in a great celestial orchestra, helping each soul find its place in the healing of the world. | You cannot see the work being done behind the scenes. But it is being done. |
| [His Love Clears away the Shadows and the Mists, Allowing You to Know Your Own Souls](messages/2015/09/2015-09-27-af-augustine.md) | Augustine | Al Fike | 2015‑09‑27 | The Saints & Apostles Speak |  | Augustine encourages the group to clear away inner obstructions and truly acknowledge themselves as the beautiful souls they are, assuring them that as this self-awareness dawns, guidance will come in deeper and clearer ways. He calls them to stop cluttering their minds with unnecessary questioning and instead allow the deep knowing of the soul to be their anchor, as God's Love gradually clears away the shadows and mists to reveal their true purpose. | The fog that obscures your soul is not permanent. Love is already clearing it |
| [The Wondrous Expressions of Your Soul and Life's Challenges](messages/2015/09/2015-09-27-af-faith-nyquist.md) | Faith | Al Fike | 2015‑09‑27 |  |  | Faith reflects on her own Earth life — its challenges, blessings, and the limitations of her understanding of Divine Love — and uses it to encourage those gathered to live each day as a prayer, embrace their soul's natural expression, and release the mental constructs that bring disappointment. She assures them that God is never disappointed in them and that as they accept who they truly are, they become a clear and beautiful channel of Love in the world. | God is never disappointed in you. Only your own expectations disappoint you |
| [Go Within in Order to Know God's Will for You](messages/2015/09/2015-09-30-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑09‑30 |  |  | Alec Gaunt assures the group that they already have everything they require to do God's work, and encourages them to stop seeking answers from the surface of the mind and instead go deep within to the still voice of the soul where Truth, insight, and God's Will are found. He urges them to make the effort and take the risk of going beyond mental imaginings to that deeper place of communion with God. | The answers you are seeking from others are already within you |
| [Continue to Open Your Arms and Build Circles of Light](messages/2015/09/2015-09-30-af-augustine.md) | Augustine | Al Fike | 2015‑09‑30 | Service & Mission, Awakening Humanity |  | Augustine urges the group to keep building their Circle of Light as a place of sanctuary and welcome, teaching that their example of love and peace in the world quietly draws seeking souls toward God. He speaks of the coming times when such circles will be a necessity, and calls them to embrace every opportunity to share the key of Divine Love prayer with those who long for something they cannot name. | Keep your arms open. The world is going to need these places of refuge. |
| [Trust That God's Will Is Unfolding](messages/2015/10/2015-10-02-af-andrew.md) | Andrew | Al Fike | 2015‑10‑02 | The Saints & Apostles Speak |  | Andrew addresses a small group carrying anxiety about a difficult situation involving obstruction and opposition to God's work, urging them to release worry and trust that God's Will cannot ultimately be thwarted. He teaches that the soul already knows its purpose in service, and that harmony with God's Will is the surest path through any obstacle. | The soul already knows its purpose. The task is to quiet the mind enough to hear it. |
| [Cherish This Light](messages/2015/10/2015-10-05-af-augustine.md) | Augustine | Al Fike | 2015‑10‑05 | The Saints & Apostles Speak |  | Augustine blesses the gathered souls and urges them to take the Gift of God's Love into their lives, cherish it, protect it, and feed it through prayer so it may grow into a great flame guiding everything they do. He calls them to reach out to God in prayer and open themselves to a full and rich relationship with their Heavenly Father. | The Light within you is precious. Treat it accordingly |
